SSN,Name,Department
586057027,Cory Browning,Orthopaedics
495740244,Patricia Allen,Neurology
212608050,Joanne Harrison,Cardiology
844362626,Erika Shaw,Psychiatry
036678030,Tracy Allen,Skin
336104096,Eric Lawson,Plastic Surgery
764470731,Thomas Miller,Surgery
431189883,Tony Durham,Gynaecology
364496902,Victor Mejia,Obstetrics
291874298,William Lee,Paediatrics
468234967,Wesley Griffin,Infectious Disease
678472179,Briana Boyd,Burn Center
468993923,Debra Turner,Gastroenterology
451796148,Terri Thompson,Haematology
046750067,Raymond Murphy,Renal
