SSN,Name,Department
214-02-8542,Rachael Todd,Orthopaedics
754-05-2589,Denise Thomas,Neurology
245-03-0901,Jean Smith,Cardiology
825-88-2413,Walter Davis,Psychiatry
878-89-6018,Jerry Brown,Skin
246-15-5540,Rodney Cunningham,Plastic Surgery
478-91-5829,Kathleen Mason,Surgery
288-51-4315,Brad Horne,Gynaecology
353-30-3382,Paul Cole,Obstetrics
896-46-5135,Megan Bishop,Paediatrics
229-40-8379,Paul Conley,Infectious Disease
431-30-9457,Anthony Mcconnell,Burn Center
467-54-8022,Jeremy Kelley,Gastroenterology
081-60-9252,Jeffrey Booth,Haematology
819-47-7198,Steven Melendez,Renal
584-41-7383,Susan Smith,Orthopaedics
415-09-8033,Jonathan Hunt,Neurology
859-03-3207,David Matthews,Cardiology
144-69-2822,Aaron Kelly II,Psychiatry
629-89-0285,Sarah May,Skin
294-68-8110,Theresa Benitez,Plastic Surgery
156-13-1905,Jennifer Baxter,Surgery
405-07-1206,Gabriela Edwards,Gynaecology
480-93-9093,Louis Williamson,Obstetrics
303-52-8226,Barbara Pennington,Paediatrics
238-23-8908,Ariel Bradford,Infectious Disease
513-46-1284,Julia Moore,Burn Center
241-40-5100,Joshua Williamson,Gastroenterology
169-81-5215,Jared Baird,Haematology
397-61-5508,Lori Cowan,Renal
